unity_time	capture_time_ns	frame_number	gaze_validity_L	gaze_validity_R	gaze_validity_C	gaze_origin_L.x	gaze_origin_L.y	gaze_origin_L.z	gaze_origin_R.x	gaze_origin_R.y	gaze_origin_R.z	gaze_origin_C.x	gaze_origin_C.y	gaze_origin_C.z	gaze_direct_L.x	gaze_direct_L.y	gaze_direct_L.z	gaze_direct_R.x	gaze_direct_R.y	gaze_direct_R.z	gaze_direct_C.x	gaze_direct_C.y	gaze_direct_C.z	focus_distance	focus_stability	IPD_mm	left_pupil_mm	left_iris_mm	left_ratio	right_pupil_mm	right_iris_mm	right_ratio	fixationPoint.x	fixationPoint.y	fixationPoint.z	gaze_contingency_L.x	gaze_contingency_L.y	gaze_contingency_L.z	gaze_contingency_R.x	gaze_contingency_R.y	gaze_contingency_R.z	gaze_contingency_C.x	gaze_contingency_C.y	gaze_contingency_C.z
7.7921	1000676832521930800	199890	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12716	-0.04645	0.99079	-0.15155	-0.04629	0.98736	0.00035	-0.04683	0.99890	0.23292	0.00000	61.15000	2.37310	6.32240	0.37535	2.31402	6.19585	0.37348	-0.14846	0.31954	-0.34411	-0.79865	0.23541	0.04971	-0.88089	0.22229	-0.14652	-0.84366	0.22848	-0.03295
7.7921	1000676832526919800	199891	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12706	-0.04642	0.99081	-0.15152	-0.04626	0.98737	0.00055	-0.04680	0.99890	0.23303	0.01603	61.15000	2.37488	6.32240	0.37563	2.31494	6.19585	0.37363	-0.14854	0.31954	-0.34403	-0.79870	0.23544	0.04963	-0.88089	0.22233	-0.14649	-0.84359	0.22853	-0.03277
7.7921	1000676832531927400	199892	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12702	-0.04643	0.99081	-0.15151	-0.04627	0.98737	0.00094	-0.04681	0.99890	0.23307	0.00000	61.15000	2.37488	6.32240	0.37563	2.31494	6.19585	0.37363	-0.14855	0.31953	-0.34392	-0.79873	0.23542	0.04959	-0.88088	0.22231	-0.14648	-0.84343	0.22854	-0.03241
7.8116	1000676832537060500	199893	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12687	-0.04649	0.99083	-0.15153	-0.04633	0.98737	0.00104	-0.04687	0.99890	0.23319	0.00000	61.15000	2.37839	6.32240	0.37618	2.31850	6.19585	0.37420	-0.14866	0.31942	-0.34382	-0.79890	0.23527	0.04937	-0.88094	0.22217	-0.14661	-0.84347	0.22840	-0.03242
7.8116	1000676832542034700	199894	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12664	-0.04657	0.99086	-0.15156	-0.04641	0.98736	0.00094	-0.04695	0.99890	0.23336	0.00000	61.15000	2.37839	6.32240	0.37618	2.31850	6.19585	0.37420	-0.14883	0.31938	-0.34377	-0.79901	0.23518	0.04917	-0.88094	0.22209	-0.14663	-0.84350	0.22832	-0.03252
7.8116	1000676832546904000	199895	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12637	-0.04668	0.99088	-0.15158	-0.04651	0.98735	0.00083	-0.04706	0.99889	0.23357	0.05394	61.15000	2.37839	6.32240	0.37618	2.31850	6.19585	0.37420	-0.14902	0.31933	-0.34371	-0.79914	0.23505	0.04893	-0.88093	0.22198	-0.14666	-0.84353	0.22821	-0.03261
7.8116	1000676832551933400	199896	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12649	-0.04678	0.99086	-0.15161	-0.04661	0.98734	0.00176	-0.04715	0.99889	0.23344	0.17635	61.15000	2.37839	6.32240	0.37618	2.31850	6.19585	0.37420	-0.14881	0.31933	-0.34356	-0.79906	0.23496	0.04904	-0.88093	0.22189	-0.14669	-0.84314	0.22817	-0.03176
7.8205	1000676832556942000	199897	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12586	-0.04705	0.99093	-0.15166	-0.04688	0.98732	0.00125	-0.04743	0.99887	0.23394	0.21367	61.15000	2.38020	6.32240	0.37647	2.32104	6.19585	0.37461	-0.14935	0.31901	-0.34341	-0.79940	0.23413	0.04846	-0.88093	0.22110	-0.14677	-0.84335	0.22734	-0.03227
7.8205	1000676832561945600	199898	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12516	-0.04739	0.99100	-0.15170	-0.04721	0.98730	0.00081	-0.04776	0.99886	0.23450	0.24102	61.15000	2.38020	6.32240	0.37647	2.32104	6.19585	0.37461	-0.14989	0.31885	-0.34327	-0.79972	0.23375	0.04786	-0.88089	0.22077	-0.14681	-0.84348	0.22698	-0.03267
7.8348	1000676832566943000	199899	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12445	-0.04777	0.99108	-0.15175	-0.04758	0.98727	0.00046	-0.04814	0.99884	0.23507	0.25767	61.15000	2.38319	6.32240	0.37694	2.32472	6.19585	0.37521	-0.15043	0.31865	-0.34310	-0.80005	0.23314	0.04722	-0.88086	0.22025	-0.14690	-0.84358	0.22642	-0.03302
7.8348	1000676832571946600	199900	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12426	-0.04814	0.99108	-0.15178	-0.04796	0.98725	0.00077	-0.04852	0.99882	0.23520	0.10356	61.15000	2.38319	6.32240	0.37694	2.32472	6.19585	0.37521	-0.15050	0.31855	-0.34298	-0.80009	0.23275	0.04706	-0.88082	0.21988	-0.14693	-0.84340	0.22607	-0.03273
7.8348	1000676832576996100	199901	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12357	-0.04866	0.99114	-0.15179	-0.04847	0.98722	0.00043	-0.04904	0.99880	0.23579	0.04210	61.15000	2.38319	6.32240	0.37694	2.32472	6.19585	0.37521	-0.15105	0.31835	-0.34282	-0.80037	0.23218	0.04647	-0.88075	0.21936	-0.14693	-0.84347	0.22553	-0.03304
7.8426	1000676832582013100	199902	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12292	-0.04927	0.99119	-0.15178	-0.04907	0.98719	0.00018	-0.04965	0.99877	0.23637	0.03771	61.15000	2.38432	6.32240	0.37712	2.32605	6.19585	0.37542	-0.15159	0.31796	-0.34262	-0.80067	0.23120	0.04583	-0.88069	0.21847	-0.14701	-0.84352	0.22459	-0.03335
7.8529	1000676832587021200	199903	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12232	-0.04997	0.99123	-0.15175	-0.04977	0.98717	-0.00005	-0.05035	0.99873	0.23693	0.02989	61.15000	2.38628	6.32240	0.37743	2.32875	6.19585	0.37586	-0.15211	0.31768	-0.34239	-0.80084	0.23026	0.04543	-0.88056	0.21759	-0.14685	-0.84349	0.22368	-0.03344
